 -81 [da:09:af:f3:0f:7c]
RSSI: -76 [da:09:e3:58:0f:ac]
RSSI: -73 [da:09:e3:58:0f:ac]
RSSI: -79 [da:09:e3:65:0f:dc]
RSSI: -76 [da:09:e3:72:10:0c]
RSSI: -77 [da:09:e3:72:10:0c]
RSSI: -87 [da:09:e3:7f:10:2c]
RSSI: -85 [da:09:e3:7f:10:2c]
RSSI: -87 [da:09:e3:99:10:7c]
RSSI: -79 [da:09:e3:a6:10:ac]
RSSI: -79 [da:09:e3:a6:10:ac]
RSSI: -81 [da:09:e3:b3:10:cc]
RSSI: -91 [da:51:18:04:03:5a]
RSSI: -79 [da:09:e3:c0:10:fc]
RSSI: -87 [da:09:e3:cd:11:1c]
RSSI: -89 [da:51:18:12:03:8a]
RSSI: -89 [da:51:18:1e:03:aa]
RSSI: -90 [da:09:e3:da:11:4c]
RSSI: -83 [da:09:e3:da:11:4c]
RSSI: -86 [da:51:18:2c:03:ca]
RSSI: -81 [da:09:e3:e7:11:6c]
RSSI: -85 [da:51:18:3a:03:fa]
RSSI: -83 [da:09:e3:f4:11:9c]
RSSI: -87 [da:09:e4:01:11:bc]
RSSI: -81 [da:09:e4:0e:11:ec]
RSSI: -87 [da:51:18:62:04:6a]
RSSI: -81 [da:09:e4:1b:12:0c]
RSSI: -87 [da:51:18:6e:04:8a]
RSSI: -79 [da:09:e4:28:12:3c]
RSSI: -87 [da:51:18:6e:04:8a]
RSSI: -76 [da:09:e4:28:12:3c]
RSSI: -73 [da:09:e4:35:12:5c]
RSSI: -87 [da:51:18:7c:04:aa]
RSSI: -77 [da:09:e4:35:12:5c]
RSSI: -74 [da:09:e4:42:12:8c]
RSSI: -86 [da:51:18:8a:04:da]
RSSI: -74 [da:09:e4:42:12:8c]
RSSI: -82 [da:51:18:96:04:fa]
RSSI: -76 [da:09:e4:4f:12:ac]
RSSI: -82 [da:51:18:96:04:fa]
RSSI: -74 [da:09:e4:4f:12:ac]
RSSI: -73 [da:09:e4:5c:12:dc]
RSSI: -82 [da:51:18:a4:05:1a]
RSSI: -75 [da:09:e4:5c:12:dc]
